"ID","Year","Park","Team","Name","Franchise_Name","Games","Wins","Losses","Attendance"
221,1889,"Oriole Park","BL2","Baltimore Orioles","Baltimore Orioles",139,70,65,NULL
222,1889,"Washington Park I","BR3","Brooklyn Bridegrooms","Los Angeles Dodgers",138,93,44,NULL
223,1889,"South End Grounds II","BSN","Boston Beaneaters","Atlanta Braves",133,83,45,NULL
224,1889,"West Side Park I","CHN","Chicago White Stockings","Chicago Cubs",136,67,65,NULL
225,1889,"National League Park","CL4","Cleveland Spiders","Cleveland Spiders",136,61,72,NULL
226,1889,"Recreation Park II","CL6","Columbus Solons","Columbus Solons",139,60,78,NULL
227,1889,"League Park I in Cincinnati","CN2","Cincinnati Red Stockings","Cincinnati Reds",141,76,63,NULL
228,1889,"Athletic Park II","IN3","Indianapolis Hoosiers","Indianapolis Hoosiers",135,59,75,NULL
229,1889,"Exposition Park","KC2","Kansas City Cowboys","Kansas City Cowboys",139,55,82,NULL
230,1889,"Eclipse Park I","LS2","Louisville Colonels","Louisville Colonels",140,27,111,NULL
231,1889,"Polo Grounds II","NY1","New York Giants","San Francisco Giants",131,83,43,NULL
232,1889,"Jefferson Street Grounds","PH4","Philadelphia Athletics","Philadelphia Athletics",138,75,58,NULL
233,1889,"Philadelphia Baseball Grounds","PHI","Philadelphia Quakers","Philadelphia Phillies",130,63,64,NULL
234,1889,"Recreation Park","PIT","Pittsburg Alleghenys","Pittsburgh Pirates",134,61,71,NULL
235,1889,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",140,90,45,NULL
236,1889,"Swampdoodle Grounds","WS8","Washington Nationals","Washington Nationals",127,41,83,NULL
237,1890,NULL,"BFP","Buffalo Bisons","Buffalo Bisons",134,36,96,NULL
238,1890,"Oriole Park","BL3","Baltimore Orioles","Baltimore Orioles",38,15,19,NULL
239,1890,"Ridgewood Park","BR4","Brooklyn Gladiators","Brooklyn Gladiators",100,26,72,NULL
240,1890,"Washington Park II","BRO","Brooklyn Bridegrooms","Los Angeles Dodgers",129,86,43,121412
241,1890,NULL,"BRP","Brooklyn Ward's Wonders","Brooklyn Ward's Wonders",133,76,56,NULL
242,1890,"South End Grounds II","BSN","Boston Beaneaters","Atlanta Braves",134,76,57,147539
243,1890,NULL,"BSP","Boston Reds","Boston Reds",133,81,48,NULL
244,1890,"West Side Park I","CHN","Chicago Colts","Chicago Cubs",139,83,53,102536
245,1890,NULL,"CHP","Chicago Pirates","Chicago Pirates",138,75,62,NULL
246,1890,"League Park I in Cincinnati","CIN","Cincinnati Reds","Cincinnati Reds",134,77,55,131980
247,1890,"National League Park","CL4","Cleveland Spiders","Cleveland Spiders",136,44,88,47478
248,1890,"Recreation Park II","CL6","Columbus Solons","Columbus Solons",140,79,55,NULL
249,1890,NULL,"CLP","Cleveland Infants","Cleveland Infants",131,55,75,NULL
250,1890,"Eclipse Park I","LS2","Louisville Colonels","Louisville Colonels",134,88,44,NULL
251,1890,"Polo Grounds II","NY1","New York Giants","San Francisco Giants",135,63,68,60667
252,1890,NULL,"NYP","New York Giants","New York Giants",132,74,57,NULL
253,1890,"Jefferson Street Grounds","PH4","Philadelphia Athletics","Philadelphia Athletics",132,54,78,NULL
254,1890,"Philadelphia Baseball Grounds","PHI","Philadelphia Phillies","Philadelphia Phillies",133,78,53,148366
255,1890,NULL,"PHP","Philadelphia Athletics","Philadelphia Athletics",132,68,63,NULL
256,1890,"Recreation Park","PIT","Pittsburg Alleghenys","Pittsburgh Pirates",138,23,113,16064
